s10	s11	s12	s13	s14	s15	s16	s17	s18	s19	S1	s20	S2	s3	s4	s5	s6	s7	s8	s9	cov_bin
104.0	74.0	143.0	117.0	152.0	62.0	158.0	115.0	155.0	26.0	207.0	89.0	65.0	118.0	64.0	41.0	109.0	171.0	90.0	112.0	103
75.0	83.0	171.0	112.0	161.0	62.0	149.0	148.0	142.0	24.0	187.0	108.0	73.0	114.0	68.0	44.0	95.0	134.0	83.0	141.0	104
77.0	83.0	138.0	85.0	138.0	47.0	143.0	105.0	138.0	30.0	214.0	96.0	60.0	116.0	64.0	53.0	111.0	153.0	98.0	131.0	105
56.0	75.0	127.0	105.0	88.0	63.0	128.0	143.0	130.0	12.0	197.0	75.0	55.0	112.0	48.0	41.0	114.0	138.0	92.0	118.0	106
56.0	75.0	122.0	105.0	69.0	68.0	119.0	142.0	117.0	22.0	163.0	49.0	36.0	93.0	41.0	43.0	92.0	143.0	92.0	119.0	107
53.0	75.0	112.0	105.0	64.0	68.0	92.0	128.0	102.0	31.0	162.0	45.0	45.0	97.0	52.0	50.0	85.0	113.0	80.0	87.0	108
42.0	66.0	95.0	90.0	61.0	64.0	76.0	110.0	104.0	26.0	211.0	52.0	49.0	73.0	50.0	69.0	93.0	104.0	81.0	123.0	109
21.0	79.0	64.0	83.0	77.0	51.0	77.0	110.0	102.0	38.0	199.0	40.0	35.0	98.0	50.0	47.0	78.0	106.0	76.0	138.0	110
22.0	73.0	63.0	50.0	72.0	62.0	83.0	87.0	101.0	30.0	169.0	38.0	53.0	60.0	76.0	62.0	77.0	89.0	77.0	159.0	111
25.0	67.0	70.0	57.0	55.0	54.0	77.0	105.0	78.0	27.0	153.0	60.0	58.0	67.0	76.0	56.0	96.0	91.0	98.0	164.0	112
34.0	70.0	61.0	62.0	57.0	63.0	87.0	104.0	111.0	35.0	161.0	70.0	68.0	58.0	65.0	65.0	91.0	116.0	64.0	137.0	113
42.0	75.0	63.0	46.0	99.0	53.0	56.0	85.0	85.0	16.0	138.0	63.0	52.0	50.0	69.0	72.0	70.0	106.0	74.0	194.0	114
34.0	62.0	46.0	70.0	89.0	56.0	84.0	95.0	99.0	29.0	107.0	69.0	69.0	42.0	47.0	59.0	88.0	91.0	76.0	160.0	115
57.0	75.0	59.0	48.0	106.0	59.0	67.0	86.0	95.0	26.0	154.0	80.0	62.0	32.0	45.0	39.0	85.0	87.0	61.0	148.0	116
37.0	86.0	58.0	70.0	68.0	54.0	95.0	109.0	107.0	8.0	166.0	49.0	36.0	37.0	32.0	36.0	93.0	105.0	62.0	139.0	117
27.0	73.0	44.0	57.0	76.0	79.0	61.0	85.0	87.0	14.0	167.0	65.0	56.0	58.0	39.0	41.0	75.0	92.0	63.0	135.0	118
23.0	58.0	53.0	55.0	68.0	77.0	59.0	126.0	105.0	13.0	148.0	69.0	37.0	53.0	39.0	28.0	84.0	74.0	65.0	143.0	119
43.0	55.0	44.0	32.0	92.0	78.0	62.0	97.0	69.0	17.0	156.0	86.0	45.0	49.0	37.0	35.0	68.0	86.0	43.0	109.0	120
37.0	68.0	63.0	47.0	76.0	57.0	63.0	118.0	102.0	12.0	167.0	78.0	40.0	40.0	36.0	30.0	68.0	109.0	27.0	81.0	121
36.0	50.0	55.0	60.0	68.0	47.0	44.0	95.0	79.0	22.0	166.0	87.0	35.0	48.0	53.0	19.0	66.0	85.0	36.0	91.0	122
56.0	34.0	62.0	47.0	78.0	35.0	42.0	90.0	76.0	8.0	163.0	81.0	42.0	46.0	48.0	44.0	66.0	88.0	25.0	90.0	123
35.0	47.0	45.0	41.0	73.0	47.0	50.0	81.0	94.0	34.0	171.0	81.0	39.0	42.0	45.0	35.0	80.0	60.0	18.0	88.0	124
28.0	40.0	33.0	44.0	62.0	51.0	72.0	78.0	99.0	24.0	129.0	84.0	23.0	31.0	33.0	31.0	61.0	66.0	28.0	83.0	125
23.0	37.0	40.0	51.0	99.0	35.0	67.0	71.0	78.0	34.0	134.0	53.0	37.0	52.0	33.0	29.0	71.0	43.0	21.0	71.0	126
34.0	32.0	42.0	53.0	87.0	51.0	60.0	69.0	88.0	17.0	119.0	50.0	30.0	52.0	27.0	31.0	77.0	46.0	32.0	77.0	127
41.0	40.0	50.0	43.0	71.0	54.0	63.0	71.0	67.0	11.0	120.0	31.0	32.0	54.0	43.0	26.0	66.0	41.0	18.0	85.0	128
39.0	36.0	54.0	27.0	48.0	68.0	45.0	72.0	55.0	19.0	160.0	25.0	32.0	53.0	16.0	35.0	58.0	48.0	13.0	70.0	129
41.0	41.0	60.0	45.0	49.0	60.0	46.0	81.0	60.0	18.0	138.0	25.0	26.0	61.0	11.0	37.0	67.0	39.0	24.0	72.0	130
46.0	42.0	51.0	51.0	39.0	52.0	56.0	88.0	73.0	30.0	164.0	15.0	23.0	49.0	24.0	31.0	65.0	37.0	25.0	98.0	131
49.0	39.0	41.0	64.0	55.0	39.0	37.0	68.0	74.0	30.0	134.0	22.0	37.0	51.0	28.0	19.0	57.0	49.0	25.0	80.0	132
41.0	55.0	25.0	65.0	42.0	42.0	41.0	83.0	88.0	34.0	113.0	23.0	19.0	50.0	31.0	36.0	43.0	46.0	12.0	58.0	133
35.0	55.0	28.0	58.0	37.0	46.0	56.0	55.0	92.0	34.0	111.0	26.0	23.0	64.0	36.0	20.0	50.0	45.0	31.0	68.0	134
41.0	46.0	38.0	44.0	30.0	54.0	61.0	55.0	81.0	27.0	104.0	25.0	29.0	39.0	39.0	20.0	36.0	35.0	38.0	56.0	135
29.0	41.0	30.0	29.0	36.0	63.0	41.0	46.0	76.0	19.0	115.0	18.0	22.0	60.0	37.0	14.0	34.0	50.0	24.0	57.0	136
51.0	67.0	31.0	40.0	29.0	45.0	23.0	39.0	57.0	29.0	84.0	19.0	31.0	48.0	55.0	15.0	28.0	31.0	22.0	54.0	137
60.0	50.0	34.0	34.0	38.0	47.0	21.0	54.0	48.0	22.0	103.0	22.0	26.0	49.0	50.0	25.0	24.0	37.0	22.0	40.0	138
28.0	52.0	52.0	40.0	20.0	48.0	52.0	61.0	65.0	20.0	74.0	22.0	39.0	47.0	49.0	25.0	20.0	23.0	30.0	36.0	139
42.0	49.0	52.0	38.0	27.0	32.0	55.0	55.0	55.0	14.0	78.0	32.0	21.0	52.0	32.0	24.0	18.0	38.0	32.0	33.0	140
57.0	64.0	43.0	45.0	36.0	38.0	44.0	79.0	58.0	17.0	95.0	47.0	22.0	72.0	34.0	37.0	26.0	36.0	19.0	29.0	141
59.0	40.0	51.0	29.0	34.0	36.0	33.0	69.0	44.0	14.0	67.0	52.0	28.0	37.0	35.0	23.0	25.0	33.0	23.0	29.0	142
48.0	38.0	23.0	40.0	25.0	38.0	47.0	73.0	34.0	21.0	76.0	43.0	39.0	45.0	28.0	22.0	31.0	42.0	20.0	28.0	143
47.0	41.0	22.0	42.0	26.0	49.0	80.0	78.0	32.0	22.0	75.0	35.0	53.0	40.0	34.0	27.0	17.0	37.0	19.0	17.0	144
25.0	51.0	35.0	29.0	19.0	44.0	37.0	39.0	35.0	17.0	76.0	31.0	29.0	44.0	46.0	31.0	22.0	29.0	26.0	10.0	145
43.0	36.0	33.0	32.0	20.0	50.0	41.0	45.0	39.0	17.0	64.0	36.0	23.0	39.0	30.0	27.0	19.0	30.0	18.0	24.0	146
35.0	56.0	27.0	34.0	27.0	39.0	34.0	51.0	37.0	19.0	49.0	34.0	31.0	36.0	37.0	26.0	13.0	27.0	14.0	27.0	147
42.0	36.0	29.0	21.0	19.0	37.0	26.0	51.0	40.0	31.0	43.0	29.0	14.0	56.0	44.0	18.0	17.0	24.0	22.0	17.0	148
33.0	26.0	22.0	23.0	17.0	32.0	29.0	28.0	51.0	31.0	43.0	44.0	26.0	36.0	34.0	21.0	22.0	29.0	21.0	39.0	149
17.0	26.0	14.0	23.0	22.0	32.0	39.0	35.0	31.0	37.0	49.0	46.0	29.0	30.0	23.0	13.0	23.0	37.0	12.0	42.0	150
21.0	28.0	23.0	32.0	12.0	32.0	39.0	42.0	43.0	21.0	40.0	45.0	21.0	23.0	14.0	27.0	26.0	30.0	14.0	22.0	151
26.0	20.0	18.0	22.0	13.0	19.0	42.0	22.0	52.0	26.0	48.0	29.0	23.0	27.0	20.0	17.0	11.0	27.0	26.0	26.0	152
19.0	22.0	21.0	14.0	17.0	25.0	23.0	17.0	45.0	11.0	64.0	29.0	17.0	21.0	26.0	13.0	18.0	22.0	34.0	32.0	153
16.0	23.0	20.0	10.0	14.0	29.0	32.0	18.0	43.0	8.0	63.0	25.0	22.0	40.0	28.0	12.0	21.0	22.0	34.0	26.0	154
10.0	17.0	38.0	19.0	17.0	29.0	23.0	23.0	51.0	16.0	53.0	29.0	24.0	29.0	33.0	19.0	11.0	36.0	33.0	20.0	155
